,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9496688741721856,0.914661533525826,0.9173101673101672,0.915983935742972,0.7536423841059603,0.4900789522017524,2897673.6805613623,6.51976203918457
Word level [ALL],0.5549668874172186,0.2551908908238446,0.28042198233562315,0.26721215663354764,0.0026490066225165567,6.434178267027201,72426396.33058965,228.67834544181824
Word level [en],0.7682119205298014,0.5599636583888552,0.5847564832384566,0.5720915841584158,0.07417218543046357,2.5781593435689016,5205706.161362827,44.40453624725342
Word level [es],0.8490066225165563,0.5410876132930513,0.5298816568047338,0.5354260089686099,0.07682119205298013,2.6877273885827315,4778974.225053706,45.52112340927124
Word level [fr],0.8344370860927153,0.4633857100504002,0.4547570555717195,0.4590308370044053,0.054304635761589407,2.8879733079358147,4943031.315739727,45.0651319026947
Word level [ja],0.7880794701986755,0.5352073476203729,0.6024436090225563,0.5668386145910096,0.08874172185430464,2.542776360009846,7623221.389050648,43.22117424011231
Word level [pt],0.7218543046357616,0.4903740374037404,0.533034379671151,0.5108150694742873,0.04768211920529802,3.097947257443478,4988365.459471017,44.664408206939704
Word level [zh_cn],0.8582781456953642,0.5199662542182227,0.5409596255119953,0.5302552337252652,0.13245033112582782,2.5732360165370136,4878862.421994417,42.279942274093635
Alignments [ALL],0.8105960264900662,0.30910505836575874,0.4519799726900319,0.3671318975875774,0.1271523178807947,4.581269193950452,10602129540.572006,273.35030603408813
Alignments [en],0.8900662251655629,0.6623586429725363,0.7130434782608696,0.6867671691792295,0.3099337748344371,2.0419080430739798,11715296.397467446,52.138760566711426
Alignments [es],0.8582781456953642,0.5820198482194979,0.5833820947922762,0.5827001753360608,0.1933774834437086,2.370926586264058,11034725.153685136,53.90490984916687
Alignments [fr],0.8701986754966887,0.6305323925593329,0.6751373626373627,0.6520729684908789,0.3920529801324503,2.2707826146953978,8405617.095418215,54.482070684432976
Alignments [ja],0.8874172185430463,0.3242344464458917,0.4969207899766405,0.3924199228576221,0.09801324503311258,3.3334528057198773,174550145861.92288,44.7691285610199
Alignments [pt],0.8675496688741722,0.6759040216289287,0.6887052341597796,0.6822445846836092,0.4211920529801325,2.144857365206668,85598842.25366619,53.675633907318115
Alignments [zh_cn],0.8768211920529801,0.41418085272528493,0.601906491148434,0.4907021926172634,0.15894039735099338,2.8995923105039094,1117708622.7879283,49.414448738098145
