,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9602649006622517,0.9151291512915128,0.7443708609271523,0.41080254854720183
Word level [en],0.8105960264900662,0.4067632850241546,0.010596026490066225,7.185224033656874
Word level [es],0.83841059602649,0.37464750906405264,0.017218543046357615,7.735086857645135
Word level [fr],0.856953642384106,0.4255602988260406,0.0026490066225165563,7.621444365852757
Word level [ja],0.7377483443708609,0.44294395678595544,0.04768211920529802,3.9556855600131184
Word level [pt],0.8622516556291391,0.36636720943290285,0.009271523178807948,7.183452397898624
Word level [zh],0.7907284768211921,0.3633293603496226,0.051655629139072845,3.445897125256689
Alignments [en],0.919205298013245,0.7229146692233941,0.29403973509933773,2.5017089671602375
Alignments [es],0.8754966887417218,0.633623188405797,0.20397350993377483,3.0314221016670526
Alignments [fr],0.8993377483443709,0.7457946863700675,0.3337748344370861,2.8589829513901157
Alignments [ja],0.9059602649006623,0.39212455721229095,0.10463576158940398,5.160273694835211
Alignments [pt],0.8768211920529801,0.7704970948999353,0.37218543046357616,2.836130132728967
Alignments [zh],0.8940397350993378,0.47782202055745904,0.15894039735099338,3.118550292363292
