,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9549668874172186,0.9289340101522844,0.9258928571428572,0.9274109405276496,0.7695364238410596,0.5457927961978528,8295854.690787572,6.733644247055054
Word level [ALL],0.4556291390728477,0.2985453705841607,0.3006976744186047,0.2996176572818909,0.0052980132450331134,7.962903630106072,189876632.99576312,236.45166730880737
Word level [en],0.7337748344370861,0.5876258992805755,0.5917125470878006,0.5896621426508808,0.0728476821192053,3.4085487516302813,34312950.52163287,46.14652824401856
Word level [es],0.8370860927152318,0.6314627994955864,0.5442934782608696,0.5846468184471687,0.1218543046357616,2.9252179403054086,21182565.438389067,46.81968402862549
Word level [fr],0.6993377483443709,0.5801687763713079,0.4997403946002077,0.5369595536959554,0.09933774834437084,3.751787383932816,18316633.09990914,46.45750117301941
Word level [ja],0.8211920529801324,0.4710574293527803,0.5503194888178914,0.5076129666011787,0.06887417218543046,3.0621195203379576,13291566.39797639,44.568150758743286
Word level [pt],0.7430463576158941,0.5715965892384592,0.5406006674082313,0.5556667143061311,0.08079470198675498,3.5717018416053365,23885102.46923832,45.69658541679382
Word level [zh_cn],0.8556291390728477,0.5044913814032532,0.5386210471747019,0.5209978688730099,0.0781456953642384,3.0419787224970367,12081944.143566273,43.38151597976685
Alignments [ALL],0.8079470198675497,0.350317572335921,0.5105945278749229,0.4155365812824377,0.1403973509933775,5.314073048139873,143928765293.85547,280.148246049881
Alignments [en],0.9059602649006624,0.702054794520548,0.7547436986689323,0.7274464310085983,0.3947019867549669,2.1056260827340583,57589150.61863562,53.904954433441155
Alignments [es],0.8688741721854305,0.6121673003802282,0.6084302325581395,0.6102930456334743,0.2357615894039735,2.6038053021619194,12321364.166106718,55.48198866844177
Alignments [fr],0.8860927152317881,0.6639511201629328,0.7207833228048011,0.6912009692563985,0.4198675496688742,2.3038529976418145,9413888.3009341,56.21580314636231
Alignments [ja],0.8927152317880794,0.348087110064744,0.5367580323107642,0.4223079120251357,0.1390728476821192,4.0695735266334125,124256401225.59105,45.909193515777595
Alignments [pt],0.8794701986754967,0.7076258104353196,0.7164738980931541,0.7120223671947808,0.4437086092715232,2.334121497524412,34178170.40817166,55.30787992477417
Alignments [zh_cn],0.871523178807947,0.472267657992565,0.6560627969427805,0.5491959190731455,0.17350993377483442,3.2104944624398883,58022591.58404269,50.54140710830689
