,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.4442028044557542,0.9682119205298013,0.9265523632993512,0.9282729805013927,0.9274118738404453,0.7509933774834437,1285019.3745882385,1.8295342922210693
Word level [en],7.726740781884445,0.8596026490066225,0.5141083521444695,0.46231920832276074,0.4868403473613894,0.033112582781456956,1.0498897242422396e+107,10.089530229568481
Word level [es],8.234520716416208,0.8543046357615894,0.4393731097058015,0.3485278080697928,0.38871320846509366,0.007947019867549669,7.026660182916627e+116,10.221508264541626
Word level [fr],8.044738588835063,0.8728476821192053,0.49024081115335866,0.42328737141606476,0.4543105473338031,0.003973509933774834,1.9330262279066936e+127,10.194645166397095
Word level [ja],4.476050365598578,0.7960264900662252,0.2987546699875467,0.4775079617834395,0.3675501761912057,0.030463576158940398,1.3669080035656351e+34,10.71571159362793
Word level [pt],8.099722551044666,0.8728476821192053,0.47701492537313434,0.3581353653070372,0.4091141833077317,0.010596026490066225,9.802543001505553e+123,10.30072569847107
Word level [zh],4.039562115543767,0.7907284768211921,0.43784051510648836,0.5571428571428572,0.4903392807617639,0.059602649006622516,5.830664028734829e+28,10.516290664672852
Alignments [en],2.7946783209807777,0.919205298013245,0.7372299872935197,0.776083467094703,0.7561579564707416,0.36423841059602646,1.3447715347950813e+93,10.123857259750366
Alignments [es],3.203587260425679,0.8900662251655629,0.6730558598028478,0.6941541937305846,0.6834422355067427,0.28344370860927154,2.0231246451770066e+65,10.25663137435913
Alignments [fr],3.2291312977671622,0.9033112582781457,0.7586883408071748,0.7857764876632801,0.7719948666761728,0.34966887417218545,8.666333970749174e+83,10.2024564743042
Alignments [ja],5.814448634260579,0.8940397350993378,0.31620553359683795,0.5651360897569083,0.4055162131941856,0.13112582781456952,6.53031792734541e+144,12.075736999511719
Alignments [pt],3.1350585758673812,0.909933774834437,0.7901668129938543,0.7959905660377359,0.7930679982376266,0.41589403973509936,3.8568370481243405e+130,10.110620498657227
Alignments [zh],3.606569228674236,0.8927152317880794,0.4163306451612903,0.6767322097378277,0.5155135520684737,0.18543046357615894,4.497630659987673e+68,11.118488550186157
