,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.976158940397351,0.9471189453414309,0.8609271523178808,0.3667781513539682
Word level [en],0.9615894039735099,0.48211634498582806,0.039735099337748346,6.377907085418701
Word level [es],0.9417218543046357,0.4269965703086723,0.04768211920529802,6.054137819691708
Word level [fr],0.9483443708609272,0.5652011458463071,0.033112582781456956,6.080590335946334
Word level [ja],0.8728476821192053,0.5854388590544943,0.14304635761589404,2.794775652022738
Word level [pt],0.937748344370861,0.4495153968838179,0.026490066225165563,6.452749089190834
Word level [zh],0.9125827814569536,0.6541798107255521,0.24900662251655628,2.1379754577812395
Alignments [en],0.9324503311258279,0.8076975199891585,0.4543046357615894,2.401328284195379
Alignments [es],0.9417218543046357,0.7466966544841158,0.41456953642384103,2.626869941227089
Alignments [fr],0.9483443708609272,0.8261486103233125,0.43443708609271525,2.6502141419651086
Alignments [ja],0.9549668874172186,0.46586941989155456,0.12185430463576159,5.103927120409514
Alignments [pt],0.9390728476821192,0.8235642391947897,0.47019867549668876,2.7236132031288243
Alignments [zh],0.9456953642384106,0.5954988359058377,0.21324503311258278,2.8562581954818023
