,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9298013245033112,0.8999227202472952,0.6317880794701987,0.6132917888266476
Word level [de],0.7417218543046358,0.11999731849567608,0.0,5.427468337510762
Word level [es],0.6927152317880795,0.11100304739674512,0.0,6.207536408775731
Word level [fr],0.7006622516556291,0.15218902015288394,0.0,5.684699013358668
Word level [ja],0.6754966887417219,0.06505026611472502,0.0,5.068681606493498
Word level [pt],0.7059602649006622,0.11325750737196846,0.0,6.175821244089227
Word level [zh],0.5920529801324503,0.03798613204703045,0.0,5.34974788866545
Alignments [de],0.7006622516556291,0.12187561828134272,0.0,5.755103936948275
Alignments [es],0.7271523178807947,0.265792349726776,0.0026490066225165563,5.293559305291427
Alignments [fr],0.7443708609271523,0.18369638445991465,0.0013245033112582781,4.894477904470343
Alignments [ja],0.7059602649006622,0.18109277792804976,0.0,4.7631500595494325
Alignments [pt],0.7178807947019867,0.1343901742359326,0.0013245033112582781,5.44925863366378
Alignments [zh],0.6582781456953642,0.14052665382145152,0.0013245033112582781,4.523759267204686
