,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9576158940397352,0.9306169965075668,0.9297511049081182,0.9301838491971144,0.7523178807947021,0.4708156749753184,2349517.4431511136,6.800750732421875
Word level [ALL],0.3973509933774834,0.10804343824774526,0.12259816207184628,0.11486155953429215,0.0,9.539045700274016,101671726.88189653,269.3901801109314
Word level [de],0.7350993377483444,0.419984076433121,0.4645530603258477,0.4411457244407275,0.014569536423841059,4.1505335657220135,8634697.311223486,49.38239860534668
Word level [es],0.7695364238410596,0.40369088811995385,0.4065040650406504,0.40509259259259256,0.015894039735099338,3.9587367572282486,9018329.768766183,50.904831171035774
Word level [fr],0.7708609271523179,0.476835081029552,0.5785334258616701,0.5227842809364549,0.02119205298013245,3.6714960731958084,11842348.79980122,48.46464157104492
Word level [ja],0.6993377483443709,0.3683992545040381,0.387328543435663,0.3776268308214817,0.014569536423841059,5.09173947384483,24176752.53272307,52.75798392295837
Word level [pt],0.7933774834437086,0.4038919777601271,0.4623778131393498,0.4311605723370429,0.01324503311258278,3.4368025604047268,5863305.785310615,48.9350266456604
Word level [zh_cn],0.6662251655629139,0.5084346802667713,0.5766407119021134,0.5403940373188784,0.045033112582781455,3.5740196353510805,9090825.782440573,51.53077292442322
Alignments [ALL],0.8291390728476821,0.35058579267388396,0.4484917472965282,0.3935408689861828,0.08211920529801324,4.865292109941182,444275005.22824633,274.95326566696167
Alignments [de],0.8980132450331125,0.6859699921031851,0.7106626670302699,0.6980980444682561,0.32317880794701986,1.916781992426044,11057062.072848022,52.633748054504395
Alignments [es],0.8913907284768212,0.7137610186092067,0.7128882367326975,0.7133243606998654,0.29668874172185433,1.7927656272524282,7989002.871938213,54.64028882980347
Alignments [fr],0.8993377483443709,0.6733904393478861,0.6974813966800228,0.685224237311964,0.30596026490066225,2.0725489403072155,5524891.9458778165,54.13024353981018
Alignments [ja],0.9019867549668874,0.3463125322331099,0.4591452991452992,0.39482581214170215,0.05562913907284768,3.9600396444922996,31591254.57662784,44.11445617675781
Alignments [pt],0.8860927152317881,0.6798280956218103,0.6999446902654868,0.6897397465594769,0.3165562913907285,2.0609752165643798,8495954.354272969,52.87650775909424
Alignments [zh_cn],0.8927152317880794,0.4751871361242029,0.6674454828660437,0.5551417004048583,0.15231788079470202,2.8831004318438085,53524586.58297233,50.59182739257813
