,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9774834437086093,0.946685210941122,0.8490066225165563,0.35402488249452096
Word level [de],0.9019867549668874,0.7024614207371508,0.23311258278145697,2.1743638157844543
Word level [es],0.8807947019867549,0.5054161162483487,0.06490066225165562,3.224231669149901
Word level [fr],0.8582781456953642,0.5112606782293555,0.052980132450331126,3.9185880949622707
Word level [ja],0.8675496688741722,0.4707045291157441,0.12847682119205298,2.8552300930023193
Word level [pt],0.8543046357615894,0.5036119711042313,0.039735099337748346,3.8735046813362524
Word level [zh],0.8649006622516556,0.6521780035751246,0.19072847682119207,2.302995669214349
Alignments [de],0.9430463576158941,0.7861406696080976,0.5033112582781457,1.4198366902082373
Alignments [es],0.9470198675496688,0.7990637799882971,0.4596026490066225,1.1728345570546623
Alignments [fr],0.9390728476821192,0.761302475780409,0.3576158940397351,1.6147792517354613
Alignments [ja],0.9430463576158941,0.44561922887150207,0.1271523178807947,4.411438509978746
Alignments [pt],0.952317880794702,0.7799736495388668,0.41721854304635764,1.3540615607592228
Alignments [zh],0.9337748344370861,0.6183076923076923,0.25695364238410595,2.4543616539945727
