,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.39066709501938407,0.9708609271523179,0.9336262719703978,0.9390555943242614,0.9363330627391859,0.8026490066225166,1386591.5970787273,2.1651346683502197
Word level [de],3.984423441635935,0.8370860927152318,0.5578573542468186,0.48783643892339545,0.5205025541902527,0.10331125827814569,7.427834433590051e+48,9.478818893432617
Word level [es],6.122474617707102,0.7827814569536424,0.35649644473173886,0.31273036574992913,0.3331822987464129,0.033112582781456956,3.589769585407466e+63,10.142613172531128
Word level [fr],7.774664703168367,0.7456953642384105,0.3671651288577792,0.30667020993887856,0.33420214306400226,0.025165562913907286,7.644488196373638e+107,9.94375205039978
Word level [ja],4.377330069792898,0.7350993377483444,0.3161484771573604,0.3758958883440211,0.34344304669998277,0.007947019867549669,1.506685424641798e+37,10.381416320800781
Word level [pt],7.5325573369076375,0.7496688741721854,0.3029361942405421,0.26253976021531683,0.2812950583300563,0.005298013245033113,4.468981360508474e+127,9.793952465057373
Word level [zh],3.504998656950499,0.8026490066225166,0.4962141222046135,0.5574678536102868,0.5250605552450158,0.059602649006622516,4.4640972471221545e+18,10.199981451034546
Alignments [de],2.015602541322771,0.9231788079470199,0.7390288236821605,0.78079561042524,0.7593383137673426,0.44503311258278144,1.502779257276489e+81,9.832594871520996
Alignments [es],1.9049674498407465,0.909933774834437,0.7570380884788266,0.7590132827324478,0.75802439891034,0.33245033112582784,3.5069815524853593e+87,9.578358173370361
Alignments [fr],2.4042411080316493,0.9152317880794701,0.7047413793103449,0.7502150845999427,0.7267676066120294,0.30066225165562915,3.5009604591949693e+55,9.561094760894775
Alignments [ja],5.981440717609305,0.9205298013245033,0.315277141548328,0.5143871449925261,0.3909400738426583,0.059602649006622516,1.6913849966133412e+116,12.121068239212036
Alignments [pt],1.9778342406118388,0.9112582781456954,0.7496646096055809,0.7980576978006284,0.7731045932484781,0.3933774834437086,7.689561292551757e+55,9.639418363571167
Alignments [zh],2.987715357032261,0.9086092715231788,0.4781456953642384,0.7191235059760956,0.5743834526650756,0.1814569536423841,4.616652458804528e+69,10.844306707382202
