,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9682119205298012,0.9425233644859812,0.9363974001857012,0.9394503959012576,0.7642384105960265,0.4578780607066093,1135922.8434494054,7.048524618148804
Word level [ALL],0.2741721854304636,0.13516024152345565,0.11429693637077767,0.12385613960417112,0.0,11.430625207800615,943798992.0403553,275.8346645832062
Word level [de],0.6304635761589404,0.492311507936508,0.4546495648190563,0.4727316027625625,0.039735099337748346,4.671510327489752,26869521.718980387,51.07222771644592
Word level [es],0.7099337748344371,0.4343345111896349,0.3460004691531785,0.3851677764721243,0.02119205298013245,4.492403444490934,9834411.13632762,52.674649953842156
Word level [fr],0.7072847682119205,0.5102365787079163,0.5022391401701747,0.5062062739787858,0.0304635761589404,4.267085869688737,26900110.846999545,50.237886667251594
Word level [ja],0.6754966887417219,0.31960885229027275,0.3651509212073696,0.3408654285975666,0.009271523178807948,5.639780127374751,47784098.14791329,54.80538940429688
Word level [pt],0.7403973509933774,0.4607019278299555,0.4236363636363637,0.4413923750887994,0.019867549668874173,3.7094021721890096,30404790.00337601,50.66311454772949
Word level [zh_cn],0.6516556291390728,0.5354765075137912,0.5678838006858987,0.5512042294889368,0.0609271523178808,4.897502820115339,79880508.65442221,53.168423175811775
Alignments [ALL],0.8185430463576159,0.3755699875639077,0.4865735767991407,0.4239257584028699,0.08211920529801324,5.454161917535882,2605374457.072293,282.2931673526764
Alignments [de],0.9205298013245032,0.7492928773463615,0.7650301916513521,0.7570797609768772,0.4278145695364238,1.8328002261488059,364521275.1199329,54.49748611450195
Alignments [es],0.8807947019867549,0.7432881615954998,0.7245762711864406,0.7338129496402876,0.33245033112582784,1.8609034902171084,677150752.2260523,56.36271262168884
Alignments [fr],0.8993377483443709,0.6829015544041451,0.7112790070156503,0.6968014803066349,0.31920529801324504,2.200856185116266,776310453.9628597,56.174256563186646
Alignments [ja],0.8834437086092716,0.3798961774421897,0.5176016717569523,0.43818466353677626,0.0781456953642384,4.463990532724481,323780044.80002654,45.5521092414856
Alignments [pt],0.8794701986754967,0.7232491538661807,0.7427807486631016,0.732884843688168,0.3920529801324503,2.1308312977223016,46921637.31244543,54.85628128051758
Alignments [zh_cn],0.8768211920529801,0.5104042412193506,0.701329448187944,0.5908254065664315,0.18013245033112582,3.124094297383962,228388880.69612527,52.43587875366211
