,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.976158940397351,0.9481344576643178,0.8397350993377484,0.3356957551165435
Word level [de],0.9298013245033112,0.7709425757769536,0.36688741721854307,1.6403415833648882
Word level [es],0.9072847682119205,0.5982861594391067,0.13642384105960265,2.680084176439988
Word level [fr],0.8834437086092716,0.592448233861145,0.09403973509933775,3.464139820400037
Word level [ja],0.833112582781457,0.5429598170532506,0.11920529801324503,2.615942473160593
Word level [pt],0.9112582781456954,0.6043555032371983,0.0847682119205298,3.124923076127705
Word level [zh],0.8688741721854305,0.7314900723696418,0.2781456953642384,1.745556738031538
Alignments [de],0.9509933774834437,0.8075936377629552,0.5390728476821192,1.2974924236487009
Alignments [es],0.9443708609271523,0.8401336196611786,0.5205298013245033,1.0835310068226567
Alignments [fr],0.9271523178807947,0.7620724346076457,0.3695364238410596,1.735346109341634
Alignments [ja],0.9615894039735099,0.43304578633045787,0.14172185430463577,4.657839845983606
Alignments [pt],0.9576158940397351,0.8167758846657929,0.543046357615894,1.2041357468666607
Alignments [zh],0.9509933774834437,0.6211011252926516,0.2728476821192053,2.4792118320143537
