,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.30035576057730634,0.9748344370860927,0.9531177829099308,0.9579851439182916,0.9555452651076639,0.8649006622516556,1147181143.8786216,2.165513515472412
Word level [de],2.383811267112431,0.9417218543046357,0.7914480587618048,0.764765525982256,0.7778780456361996,0.3562913907284768,9.215029403468855e+68,9.940638065338135
Word level [es],4.387710435139505,0.8794701986754967,0.635708344884946,0.5963589076723017,0.6154052603327965,0.12582781456953643,2.0015076114695757e+69,9.697323560714722
Word level [fr],5.519286810724359,0.8834437086092716,0.6185618313013187,0.6108108108108108,0.6146618865125479,0.08741721854304636,1.3810886557780915e+137,9.826721668243408
Word level [ja],2.647222505745135,0.8410596026490066,0.5132544555938295,0.6088115118138213,0.5569640825613521,0.11258278145695365,2.1156694049326613e+26,10.239133834838867
Word level [pt],4.893621348079882,0.8913907284768212,0.6120205799812909,0.6222063718497385,0.6170714454138175,0.08211920529801324,5.490570032194389e+127,9.730038166046143
Word level [zh],1.6152438653142829,0.8993377483443709,0.73875,0.8091140230784275,0.7723326799215906,0.29403973509933773,3.1651771160823154e+32,9.863964796066284
Alignments [de],1.730263268111862,0.9417218543046357,0.7881848018177228,0.8345362202619621,0.8106985198649701,0.5218543046357615,3.7982918804982425e+46,9.735108852386475
Alignments [es],1.433421898530306,0.9364238410596026,0.8304399524375743,0.8451113262342691,0.8377114069809284,0.49933774834437084,5.565289326530757e+82,9.71112585067749
Alignments [fr],2.401334571269782,0.9298013245033112,0.7250484496124031,0.8084819016747704,0.7644955300127714,0.3576158940397351,1.2942374109247087e+66,9.787653684616089
Alignments [ja],6.143368204447784,0.9562913907284768,0.35403923222948747,0.6067232965841316,0.4471528471528472,0.11258278145695365,3.806715410148248e+125,11.648973941802979
Alignments [pt],1.5952928566055273,0.9549668874172186,0.7966360856269113,0.843497031840259,0.8193971166448232,0.5006622516556292,7.26679405016419e+41,9.738447904586792
Alignments [zh],2.836673592062863,0.9496688741721855,0.5280456852791878,0.77703081232493,0.6287873063845864,0.2596026490066225,8.886003358383342e+67,10.628987789154053
