,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9483443708609272,0.8035538005923001,0.7935656836461126,0.798528510116493,0.4145695364238409,0.9245101861655712,2716282.11594993,6.66313099861145
Word level [ALL],0.3708609271523179,0.14923727256019115,0.16937838965373386,0.15867122618466048,0.0,9.858499471764816,111214403.568242,289.17115807533264
Word level [en],0.6423841059602649,0.3653638522997193,0.40869565217391307,0.3858168965910387,0.022516556291390728,4.768836886004398,27567625.79023457,53.33692145347595
Word level [de],0.766887417218543,0.3982227733002687,0.4299419901829541,0.4134749490398025,0.018543046357615896,4.086626346487748,15200877.50048935,54.40616965293884
Word level [fr],0.7721854304635761,0.41243301178992503,0.4479627473806752,0.42946428571428574,0.02516556291390729,3.820821992347115,15805503.854423432,53.600980043411255
Word level [ja],0.6543046357615894,0.371473628876818,0.4551309574924861,0.4090689821514713,0.014569536423841059,4.864263331262689,11247003.42732166,55.18108034133911
Word level [pt],0.6821192052980133,0.4190899001109878,0.424555880368788,0.4218051831992851,0.02781456953642384,4.016525570969833,13607230.061050095,55.65035104751587
Word level [zh_cn],0.6754966887417219,0.3997870074547391,0.4225574065736155,0.4108569552369487,0.029139072847682117,4.3426286578178415,25293581.60774713,54.87819743156433
Alignments [ALL],0.8304635761589404,0.3268061118528408,0.4322998430141287,0.3722226915603616,0.08609271523178808,4.844155519887019,8105271579.790528,287.1877481937408
Alignments [en],0.8807947019867549,0.5885526624442879,0.652027027027027,0.6186660091234126,0.22781456953642384,2.6809857829620958,5378478.369630953,54.31640863418579
Alignments [de],0.8754966887417218,0.5035897435897436,0.5677941601618965,0.5337681750237805,0.176158940397351,2.7581652214652608,8389404.607414197,54.08636951446533
Alignments [fr],0.8927152317880794,0.5598404255319149,0.6055811277330264,0.5818131564400222,0.15894039735099338,2.2016529886346112,4118127.020539954,57.33397674560547
Alignments [ja],0.8821192052980132,0.2782409897794513,0.37366805129131303,0.31897016881214835,0.052980132450331126,3.982699452575885,270582908.28943056,47.57844638824463
Alignments [pt],0.8569536423841059,0.6409116175653141,0.6579172610556349,0.6493031113613966,0.20794701986754968,2.1263573433223524,5872582.938436295,58.71714472770691
Alignments [zh_cn],0.8768211920529801,0.3943620613713111,0.5558774834437086,0.4613931117409602,0.11788079470198674,3.066627129755522,12700080.838660385,51.49967575073242
