,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.952317880794702,0.8084482969112441,0.42251655629139073,0.7916124535920589
Word level [en],0.8437086092715231,0.1037675606641124,0.0026490066225165563,9.390653295266
Word level [de],0.8701986754966887,0.4883019951198507,0.02913907284768212,4.41504179019677
Word level [fr],0.8264900662251655,0.3248407643312102,0.015894039735099338,6.193126588118703
Word level [ja],0.7549668874172185,0.34767759562841527,0.01456953642384106,4.658683667684857
Word level [pt],0.8344370860927153,0.322109184696948,0.005298013245033113,5.335017556893198
Word level [zh],0.7894039735099337,0.29890068233510236,0.03576158940397351,3.830853135962235
Alignments [en],0.8940397350993378,0.7194630872483221,0.20927152317880796,2.639578117038074
Alignments [de],0.9125827814569536,0.6032786885245901,0.15496688741721854,3.452510082094293
Alignments [fr],0.9165562913907285,0.6191975900314939,0.16158940397350993,3.0174063004945455
Alignments [ja],0.9033112582781457,0.31637184246924366,0.045033112582781455,6.695862421707103
Alignments [pt],0.8688741721854305,0.6796711717988017,0.20264900662251656,2.3086991020723393
Alignments [zh],0.8874172185430463,0.4593778068098309,0.11655629139072848,3.7966288627762546
