,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.3610887048012381,0.9774834437086093,0.9462018009697529,0.95324494068388,0.9497103128621089,0.8543046357615894,1286744843.9773664,1.8161849975585938
Word level [en],9.114458791833174,0.9509933774834437,0.21827690613817782,0.22300337457817773,0.22061482820976494,0.010596026490066225,2.5905517658341572e+109,11.341235876083374
Word level [de],3.8403935987698405,0.9139072847682119,0.4891188959660297,0.48385402992911525,0.4864722185561568,0.11655629139072848,1.2351099172919828e+48,11.283205270767212
Word level [fr],4.479929494857788,0.8993377483443709,0.538837588267246,0.5300561047288271,0.5344107744107744,0.09933774834437085,2.251310845272407e+55,11.35484528541565
Word level [ja],3.672913248758567,0.8317880794701987,0.32403783431180694,0.410622029344906,0.3622276911858536,0.06887417218543046,1.0791466600756234e+42,11.65024471282959
Word level [pt],4.427831974782442,0.8754966887417218,0.47801522967329896,0.5023231801755291,0.4898678414096916,0.045033112582781455,2.6769961541201547e+62,11.293495893478394
Word level [zh],3.08140279682059,0.8609271523178808,0.42905405405405406,0.47754334656360975,0.4520019772614928,0.10463576158940398,1.1321936913794254e+43,11.521873474121094
Alignments [en],2.2061655588006897,0.9470198675496688,0.7867531886328037,0.7885176048441355,0.7876344086021505,0.3218543046357616,3.525747573772909e+80,11.222224950790405
Alignments [de],3.091773227641457,0.9430463576158941,0.6347982523772809,0.6699213452671549,0.6518870414357351,0.23973509933774834,8.004049667625233e+42,11.399396657943726
Alignments [fr],2.668723234847972,0.9536423841059603,0.6543542733890536,0.6974137931034483,0.6751982195020169,0.295364238410596,1.002851830384226e+53,11.297391891479492
Alignments [ja],6.872641547102678,0.9364238410596026,0.29870273866282293,0.5313609467455621,0.3824260061040528,0.07947019867549669,4.141276780953607e+150,14.266302585601807
Alignments [pt],1.8558519573955747,0.9470198675496688,0.7347972972972973,0.7345904869124683,0.7346938775510203,0.37880794701986753,2.3334750318798634e+48,11.26114797592163
Alignments [zh],3.7560495652650534,0.9337748344370861,0.42888430816799794,0.6675355925406056,0.5222370381990744,0.12847682119205298,1.899843881470014e+76,12.570306062698364
