,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.928476821192053,0.8194480946123521,0.7925775292323335,0.8057888616100269,0.4225165562913907,1.004359965408711,2179131.002039525,6.83845329284668
Word level [ALL],0.2940397350993377,0.15054203313561054,0.15537259869115475,0.15291917722833992,0.0,10.43450991479974,649253121.367279,299.1435890197754
Word level [en],0.6874172185430464,0.40646528881822996,0.3790462070669632,0.3922772024037847,0.022516556291390728,4.610101462665356,14035842.646248348,55.23839473724365
Word level [de],0.7549668874172185,0.4951233505450373,0.4148041336217255,0.4514188570681313,0.03311258278145696,4.002036151133087,34370533.56117859,56.47157788276672
Word level [fr],0.6582781456953642,0.4532412327311371,0.4147823972769269,0.43315983242351147,0.031788079470198675,4.427068912355524,18400907.236201853,55.439956426620476
Word level [ja],0.5761589403973509,0.3057266009852217,0.4091470951792336,0.3499559471365639,0.003973509933774834,5.638983829397905,34959965.94985067,57.210244417190545
Word level [pt],0.6622516556291391,0.4941773663780233,0.3897786151672162,0.4358130348913759,0.052980132450331126,4.351547234936763,29032074.021733146,57.69207763671875
Word level [zh_cn],0.6066225165562914,0.32475067996373524,0.39440651838802027,0.35620525059665875,0.01324503311258278,5.265283652355796,62982316.49646751,56.51045346260071
Alignments [ALL],0.8132450331125828,0.3445800430725054,0.4686584651435266,0.3971537315902697,0.1086092715231788,5.313560468272159,4756528568.190825,294.88303017616266
Alignments [en],0.8887417218543047,0.6262726595480507,0.6657866948257656,0.6454254638515675,0.2516556291390729,2.6082587033510207,6839615.377586025,55.89158129692078
Alignments [de],0.8741721854304636,0.5442395081529003,0.5908299477655252,0.5665785445944066,0.18940397350993374,2.816686268856651,22302403.919759866,55.974406480789185
Alignments [fr],0.8900662251655629,0.5941366325981711,0.6250707413695529,0.609211252068395,0.16423841059602648,2.402217748290614,7779093.104934926,59.28612327575684
Alignments [ja],0.8609271523178808,0.2998504486540379,0.43203447656670857,0.35400573824762743,0.06754966887417219,4.4054029000432875,3450709465.021705,48.98054933547974
Alignments [pt],0.8741721854304636,0.6837729357798165,0.671830985915493,0.6777493606138107,0.2185430463576159,2.09931348205397,6664200.512716187,60.43417930603027
Alignments [zh_cn],0.8529801324503311,0.40854293793719293,0.5548817465130382,0.4705983199039946,0.10198675496688743,3.5362824565485904,29184207.470091186,52.6739182472229
