,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.4442028044557542,0.9682119205298013,0.9265523632993512,0.9282729805013927,0.9274118738404453,0.7509933774834437,1285019.3745882385,1.8532147407531738
Word level [en],9.619800250153792,0.8741721854304636,0.14990914597213809,0.13727121464226288,0.143312101910828,0.0,6.992293444346297e+99,11.600523471832275
Word level [de],4.569610588174117,0.8556291390728477,0.5243937232524964,0.4786458333333333,0.5004765146358068,0.03576158940397351,3.166385489268732e+62,11.426303386688232
Word level [fr],5.533132789636913,0.8357615894039735,0.4114625574479589,0.37022622233033325,0.38975672215108836,0.02781456953642384,8.313231178373706e+79,11.559683322906494
Word level [ja],4.443160920394094,0.7920529801324503,0.252092767942912,0.33206796818510487,0.2866058194866994,0.010596026490066225,2.2405338856334338e+27,12.220507621765137
Word level [pt],5.6891923628355325,0.8344370860927153,0.4114888628370457,0.3570701932858596,0.3823529411764706,0.019867549668874173,2.7650030818418797e+66,11.814310073852539
Word level [zh],4.481237739638279,0.7721854304635761,0.3142220098741838,0.37093438616281255,0.34023107432315913,0.013245033112582781,9.828724240255546e+26,11.840507745742798
Alignments [en],2.770136953419761,0.8980132450331125,0.7175280898876405,0.7403199629028518,0.7287458632888282,0.21456953642384105,2.822443639864263e+70,11.50104022026062
Alignments [de],3.5225222186038367,0.8927152317880794,0.614226754066521,0.670021186440678,0.6409119696010134,0.18675496688741722,3.206120361048993e+69,12.000174045562744
Alignments [fr],3.558203221622266,0.9086092715231788,0.6063569682151589,0.677040677040677,0.639752353927512,0.17748344370860927,1.9211465824811868e+90,11.86486291885376
Alignments [ja],7.267678918963984,0.8754966887417218,0.24684684684684685,0.4692726173685271,0.32351715516043894,0.05033112582781457,1.0742832122528109e+164,15.14199161529541
Alignments [pt],2.318693304375598,0.8927152317880794,0.7056838826888139,0.7295411859404347,0.7174142480211082,0.26490066225165565,1.7083153620856627e+85,11.61662483215332
Alignments [zh],4.114197718156012,0.8781456953642384,0.381069851986497,0.6067810626421336,0.4681394050562246,0.14172185430463577,1.707272391141075e+85,12.70658278465271
