,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9562913907284768,0.9047380295813487,0.6966887417218544,0.5281344471021409
Word level [en],0.9496688741721855,0.23244755244755247,0.01456953642384106,8.410681225124158
Word level [de],0.928476821192053,0.6700359090304563,0.21456953642384105,3.0784656909343444
Word level [fr],0.8860927152317881,0.593253707835674,0.10331125827814569,4.024702715246301
Word level [ja],0.8688741721854305,0.5078797725426484,0.11125827814569536,3.116813591436336
Word level [pt],0.8754966887417218,0.5670222336460609,0.11390728476821192,4.131721805114495
Word level [zh],0.9006622516556292,0.6024482109227872,0.19205298013245034,2.4208004575026663
Alignments [en],0.9364238410596026,0.8091200733272227,0.3390728476821192,2.116115320626475
Alignments [de],0.9562913907284768,0.7157948982221077,0.28211920529801326,2.807576215825975
Alignments [fr],0.9165562913907285,0.7192551403077719,0.3205298013245033,2.9990827396315964
Alignments [ja],0.9536423841059603,0.39799196787148594,0.08211920529801324,6.564599503968891
Alignments [pt],0.9337748344370861,0.798007002423916,0.4384105960264901,1.8980954777130759
Alignments [zh],0.9403973509933775,0.5596189305470191,0.17218543046357615,3.513049026735519
