,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9562913907284768,0.8664850136239782,0.8879581151832461,0.8770901568695053,0.6768211920529801,0.5686961234510435,1717932.0513769959,6.70507287979126
Word level [ALL],0.5841059602649007,0.12206279891869412,0.13959571938168847,0.13024184601730646,0.006622516556291391,8.083112126902531,196959498.08535048,281.96841764450073
Word level [en],0.7735099337748345,0.3851328624285234,0.3785123966942149,0.3817939313104369,0.04900662251655629,3.826473707274386,5244960.661026271,54.043941020965576
Word level [de],0.8052980132450331,0.4889078498293515,0.5162162162162162,0.5021910604732691,0.058278145695364235,3.274858498887012,7434358.557149635,51.14303636550903
Word level [es],0.8013245033112583,0.349189754312598,0.3928256395177889,0.3697246436972465,0.026490066225165563,3.839624928173266,70877624.04178181,54.02120494842529
Word level [ja],0.7271523178807947,0.3114014251781473,0.3958333333333333,0.34857750598245146,0.02384105960264901,4.166808243801719,3092239.4191416777,55.58774518966675
Word level [pt],0.8013245033112583,0.4474744344592501,0.4245810055865922,0.4357272178636089,0.06225165562913908,3.508743287387647,8537330.36373895,53.188432455062866
Word level [zh_cn],0.7695364238410596,0.3710724487146196,0.4281006590772918,0.3975518152733343,0.039735099337748346,3.186027718217749,7316023.827874676,52.719598293304436
Alignments [ALL],0.8344370860927153,0.29129041654529564,0.462962962962963,0.3575898444484176,0.08344370860927153,4.282889208040738,46740489.56005366,291.3434464931488
Alignments [en],0.9033112582781456,0.5867768595041323,0.6895295902883156,0.6340170224640715,0.2304635761589404,2.1649568953012164,4306362.796554999,55.14155006408691
Alignments [de],0.9178807947019868,0.5640634533251982,0.6453752181500872,0.6019860003255737,0.40264900662251657,2.0713987375560556,2482305.288049973,54.9391713142395
Alignments [es],0.9086092715231788,0.5739710789766407,0.614102945551919,0.5933592065545493,0.2,2.0555166758989034,5637417.228688967,57.21410083770752
Alignments [ja],0.8860927152317881,0.2920884389984017,0.47934426229508204,0.3629893238434164,0.09536423841059603,3.2009056568145757,3704625.596209509,49.969224452972405
Alignments [pt],0.8993377483443709,0.6499184339314845,0.7046338875132651,0.6761710794297352,0.3933774834437086,1.8671325101664191,4159996.849256998,56.93173456192017
Alignments [zh_cn],0.8927152317880794,0.38156093108169786,0.5888706269077248,0.4630723781388479,0.12450331125827815,2.6687934160232545,6476560.117248912,52.542235612869256
