,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9682119205298013,0.8877779693156352,0.7019867549668874,0.47469697961841073
Word level [en],0.7880794701986755,0.2309879175550817,0.007947019867549669,8.656928810320402
Word level [de],0.8529801324503311,0.5025947476018242,0.11920529801324503,4.715036971945512
Word level [es],0.8344370860927153,0.3613033448673587,0.007947019867549669,8.288969108932896
Word level [ja],0.7576158940397351,0.23741408136726733,0.005298013245033113,5.519553299954063
Word level [pt],0.8781456953642384,0.37892872952633905,0.003973509933774834,7.71298221161491
Word level [zh],0.7695364238410596,0.36102965135223203,0.045033112582781455,3.7278854244633726
Alignments [en],0.9350993377483444,0.6825113339744471,0.2556291390728477,2.357272933815655
Alignments [de],0.9403973509933775,0.6954602774274905,0.3509933774834437,2.5654823140878427
Alignments [es],0.9218543046357616,0.6354121863799284,0.20264900662251656,2.5435058929418264
Alignments [ja],0.9178807947019868,0.3638058120816741,0.09801324503311258,4.350204672311482
Alignments [pt],0.9430463576158941,0.7183687113488215,0.36688741721854307,2.1863267821897017
Alignments [zh],0.9337748344370861,0.44960372960372963,0.11788079470198676,2.97047292652883
