,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.3610887048012381,0.9774834437086093,0.9462018009697529,0.95324494068388,0.9497103128621089,0.8543046357615894,1286744843.9773664,1.8280601501464844
Word level [en],8.928828379982397,0.8145695364238411,0.37191301142646516,0.32246724193032916,0.3454296473810339,0.011920529801324504,7.780578728525674e+147,11.141488075256348
Word level [de],3.909875315349353,0.9033112582781457,0.6964167219641673,0.633182503770739,0.6632959393269079,0.20397350993377483,9.137061351547376e+77,11.101852416992188
Word level [es],7.221190758755332,0.9536423841059603,0.5947758559830568,0.4354005167958656,0.5027599582276592,0.04370860927152318,1.657514637492152e+115,11.165951490402222
Word level [ja],4.083406935867511,0.8781456953642384,0.330362568361353,0.36984126984126986,0.34898898042152565,0.039735099337748346,3.0191966490320355e+45,11.641734838485718
Word level [pt],6.821826821879337,0.9311258278145695,0.5385812072184194,0.46172312616697786,0.4971994829814735,0.018543046357615896,1.0392070227466553e+84,11.225075006484985
Word level [zh],2.5144124710246136,0.8847682119205298,0.46938361719383614,0.5958815958815958,0.5251219235567652,0.16556291390728478,2.9412243268798563e+35,11.367678165435791
Alignments [en],2.013610563389222,0.9483443708609272,0.7024930747922438,0.7944862155388471,0.74566304028227,0.42649006622516555,3.194518840726665e+52,11.112138032913208
Alignments [de],2.43317150161234,0.9072847682119205,0.7348484848484849,0.7995384108143752,0.7658297805147639,0.4185430463576159,3.20199207745522e+53,11.193827152252197
Alignments [es],2.124378794588541,0.9615894039735099,0.7048801617095004,0.7573689109525287,0.7301824708345795,0.3748344370860927,2.0334244872810034e+56,11.142017841339111
Alignments [ja],4.498489850955574,0.9086092715231788,0.3776296877041683,0.6749182624941616,0.4842899036447424,0.16821192052980133,2.613249121255708e+99,14.245112180709839
Alignments [pt],1.852612058918825,0.9655629139072848,0.7677139037433155,0.8113740727658071,0.7889404087240254,0.49933774834437084,1.2864991524906032e+71,11.102858066558838
Alignments [zh],2.9233154342362755,0.9430463576158941,0.42410518626734844,0.6968314930388863,0.5272908909272546,0.23576158940397351,1.1103331108758292e+62,12.75078797340393
