,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9642384105960264,0.8922716627634659,0.9033787788974512,0.8977908689248896,0.7324503311258278,0.5542847041255108,1342951.1789326484,6.824007034301758
Word level [ALL],0.4105960264900662,0.20489222572051344,0.18092386655260906,0.19216354344122652,0.0052980132450331134,9.29706835997732,616032640.8640809,292.63827872276306
Word level [en],0.7880794701986755,0.5116731517509727,0.42683256694617255,0.465418079929214,0.10066225165562914,3.8820978070560255,13863220.994361687,56.22017359733582
Word level [de],0.7708609271523179,0.6356311548791406,0.5814905814905815,0.6073567151411462,0.13642384105960265,3.5661145981989413,12051026.494935222,52.96564912796021
Word level [es],0.7682119205298014,0.4510172143974961,0.373897249610794,0.4088523194779401,0.058278145695364235,3.8947226423966264,35186613.44697708,56.11690807342529
Word level [ja],0.6251655629139072,0.3349379744491761,0.4210893854748604,0.3731050840466124,0.03576158940397351,5.116147534470809,24943282.077362355,57.69877600669861
Word level [pt],0.7827814569536424,0.5317535545023697,0.4432446668422439,0.4834817581154842,0.08344370860927153,3.92249537267183,19218742.0334122,54.93545556068421
Word level [zh_cn],0.6847682119205298,0.4462188821042743,0.4508780256288562,0.4485363550519357,0.05695364238410596,4.324699876182958,15872038.283844592,54.59140110015869
Alignments [ALL],0.8145695364238411,0.361193227626982,0.5670886075949367,0.4413068461664752,0.11258278145695363,4.485891324595401,93112979.14647804,303.2590501308441
Alignments [en],0.9072847682119204,0.6597963744723119,0.7459292532285233,0.7002240084332587,0.34966887417218545,2.0266600345310413,8284327.764755554,56.98641395568848
Alignments [de],0.932450331125828,0.6285393888421643,0.7061417322834646,0.6650845446455058,0.447682119205298,2.1034584349707552,8230158.701038458,56.21943736076355
Alignments [es],0.9019867549668874,0.6199945518932171,0.649358059914408,0.6343366778149386,0.21986754966887415,2.056521460884496,7031101.45075794,58.872414112091064
Alignments [ja],0.8940397350993378,0.3284789644012945,0.5403041825095057,0.4085681426106957,0.1218543046357616,3.567057036098681,4090533.8628434255,50.82848119735718
Alignments [pt],0.8847682119205298,0.6993087557603687,0.7342001814333232,0.7163298421596106,0.4105960264900662,1.9986290454325315,4886331.877930638,59.095564126968384
Alignments [zh_cn],0.8927152317880794,0.44281319910514544,0.6446163240382659,0.5249896394529632,0.1814569536423841,2.819716190664392,10495075.94950427,53.975640773773186
