,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9562913907284768,0.8896744734128738,0.6966887417218544,0.5345613523282258
Word level [en],0.8145695364238411,0.2263588979895756,0.010596026490066225,9.415385672920628
Word level [de],0.8357615894039735,0.5592618878637331,0.11390728476821192,4.952812143375999
Word level [es],0.8609271523178808,0.41177951170400195,0.01456953642384106,8.074825560419184
Word level [ja],0.7841059602649006,0.3659194336760492,0.006622516556291391,6.239630945105302
Word level [pt],0.847682119205298,0.38870735851522675,0.003973509933774834,7.971687618054841
Word level [zh],0.7284768211920529,0.4881656804733727,0.04900662251655629,4.182947483815645
Alignments [en],0.9112582781456954,0.7028210743269354,0.25695364238410595,2.3508509306531202
Alignments [de],0.9258278145695364,0.7412149665670793,0.3576158940397351,2.427167996685756
Alignments [es],0.9072847682119205,0.6789089927086145,0.22913907284768212,2.3939877532030405
Alignments [ja],0.8887417218543047,0.4035331046061756,0.10860927152317881,4.67543709074196
Alignments [pt],0.8993377483443709,0.7404069767441861,0.35894039735099337,2.2946122606431967
Alignments [zh],0.9125827814569536,0.49101691958834814,0.18675496688741722,3.1356255998736935
