,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.3948793159062533,0.9655629139072848,0.9423032001868722,0.9363974001857011,0.9393410175806264,0.7801324503311259,10042837.609680966,1.8477389812469482
Word level [en],8.986210238306146,0.8066225165562914,0.20182012847965738,0.2293885001521144,0.21472305282642748,0.007947019867549669,3.219993003515497e+116,11.384249687194824
Word level [de],4.741287193172856,0.823841059602649,0.5717237308146399,0.5247900298022217,0.5472524367848567,0.1205298013245033,2.0731098749675006e+85,11.356019973754883
Word level [es],7.776059461894788,0.8635761589403973,0.4852538765582244,0.354115819835811,0.40944073884043103,0.017218543046357615,6.138618563650531e+91,11.560553073883057
Word level [ja],6.209295580261632,0.7841059602649006,0.23322249093107617,0.29570716749712533,0.2607740408991043,0.011920529801324504,1.3627225567818451e+51,12.162846088409424
Word level [pt],7.7289747501674455,0.8556291390728477,0.41104972375690607,0.36046511627906974,0.3840991223541559,0.010596026490066225,1.2032980774769924e+97,11.513182163238525
Word level [zh],4.07113953515103,0.7443708609271523,0.42777590280121497,0.5301129234629862,0.4734777736271947,0.02913907284768212,2.9617005616817946e+17,11.791335344314575
Alignments [en],2.1180374928406978,0.9403973509933775,0.673804780876494,0.7628982238511418,0.7155890519635066,0.3165562913907285,1.594241586909868e+57,11.32868504524231
Alignments [de],2.2883970460021184,0.9390728476821192,0.719380702239425,0.7661955241460542,0.7420504776843007,0.3708609271523179,9.332585143823562e+52,11.357627391815186
Alignments [es],2.2177080033641112,0.8993377483443709,0.6495523959978936,0.6925884334643458,0.6703804347826087,0.21721854304635763,9.421967211079604e+43,11.444486379623413
Alignments [ja],4.594548472291545,0.895364238410596,0.31273957158962795,0.5725490196078431,0.40452059788552674,0.12185430463576159,8.861263424519546e+98,13.89298963546753
Alignments [pt],2.3063931588279574,0.8874172185430463,0.7157572383073497,0.7788548924568313,0.7459741767010011,0.36688741721854307,5.044038698694196e+54,11.379632949829102
Alignments [zh],2.933620533974547,0.9139072847682119,0.39924591537494764,0.6485934664246824,0.49425188002420256,0.1576158940397351,9.710843032217903e+70,12.43873143196106
