,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9536423841059603,0.9370183364336966,0.7403973509933774,0.4497297869131312
Word level [en],0.8635761589403973,0.1265572473798695,0.0,16.50141066501015
Word level [de],0.8794701986754967,0.26300670284072775,0.0,16.030987247667813
Word level [es],0.8410596026490066,0.2551282051282051,0.0,14.85971296711972
Word level [fr],0.8463576158940397,0.2913684210526316,0.0,14.981640966315018
Word level [pt],0.8516556291390729,0.31177580167070873,0.0,15.426456411261308
Word level [zh],0.8490066225165563,0.6320376748436071,0.247682119205298,1.8582703907827014
Alignments [en],0.8860927152317881,0.5283334884153718,0.007947019867549669,10.14893189982364
Alignments [de],0.9059602649006623,0.56078691423519,0.02781456953642384,10.851101732254028
Alignments [es],0.8754966887417218,0.5132285276073619,0.006622516556291391,11.447694678055612
Alignments [fr],0.8980132450331125,0.5698083248270386,0.013245033112582781,11.521145474283319
Alignments [pt],0.9086092715231788,0.5762443438914027,0.02781456953642384,10.387255171725624
Alignments [zh],0.9430463576158941,0.7020499859590001,0.18410596026490067,6.71597712800691
