,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.943046357615894,0.9155172413793105,0.9090390321844328,0.9122666361241554,0.6622516556291391,0.6664718870974243,59348.88606654673,6.735953330993652
Word level [ALL],0.8450331125827815,0.4315952503871967,0.258903685351502,0.3236546651180797,0.054304635761589407,4.220004618795294,5331522.830295201,119.7062714099884
Word level [en],0.8940397350993378,0.5583596214511041,0.4757265244414581,0.5137414965986395,0.0847682119205298,2.4379977496046767,281747.586547037,25.704866647720337
Word level [de],0.9006622516556292,0.6323467230443974,0.4989157631359466,0.5577622377622378,0.08874172185430464,2.241366191914207,1446478.771140991,25.57351565361023
Word level [es],0.9019867549668874,0.5688149688149688,0.4549384768872631,0.5055432372505544,0.08609271523178808,2.4474229335784914,670661.3353478839,25.741504430770874
Word level [fr],0.9033112582781456,0.6328734253149371,0.5102369821054329,0.5649767940021422,0.09668874172185432,2.1857215856250964,1034748.5519041813,25.635714054107666
Word level [pt],0.8993377483443709,0.5872608952869257,0.4689025350338529,0.5214498336543512,0.08079470198675498,2.3515550011082698,952940.9037433277,25.75484919548035
Word level [zh_cn],0.8980132450331125,0.6208614593378335,0.5280929596719071,0.5707320676663958,0.1152317880794702,2.183773287973906,150782.9573600317,25.649853229522705
Alignments [ALL],0.7112582781456953,0.3324480549914076,0.4051018465638683,0.3651964990561181,0.08211920529801324,9.146771738403721,428041499405.6552,164.37022686004642
Alignments [en],0.7443708609271523,0.4820018945374171,0.5536815379035183,0.5153612424037811,0.08211920529801324,7.0153595698507205,590916661544.9011,32.28503704071045
Alignments [de],0.785430463576159,0.4622437971952535,0.5398992020159596,0.4980627663696241,0.10596026490066224,6.881877219049554,277123277973.86554,33.052074432373054
Alignments [es],0.7192052980132451,0.4144527098831031,0.4451207913258513,0.42923965880950204,0.052980132450331126,6.9668118953704825,435683140681.8369,33.55250120162964
Alignments [fr],0.7708609271523179,0.4804438784791705,0.5310677659360546,0.5044890162368671,0.09403973509933776,6.564224815368652,3553404902.8272595,33.254239797592156
Alignments [pt],0.7483443708609272,0.4729072907290729,0.5386508099241337,0.5036426380368098,0.09271523178807947,6.805449423037077,5046040176.289719,33.20135831832886
Alignments [zh_cn],0.8582781456953642,0.6568068424803991,0.6886287208867854,0.672341460448714,0.2490066225165563,2.870808893128445,283934021.64310366,34.355819702148445
