,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.4442028044557542,0.9682119205298013,0.9265523632993512,0.9282729805013927,0.9274118738404453,0.7509933774834437,1285019.3745882385,1.898871898651123
Word level [en],16.64447952069734,0.8132450331125828,0.13564908722109534,0.19107142857142856,0.15865954922894424,0.0,5.214928606294106e+211,6.620239973068237
Word level [de],16.112916293897126,0.766887417218543,0.29075281564908123,0.2742521666200727,0.2822615451014243,0.0,2.0222549766138278e+242,6.623447418212891
Word level [es],16.324062658611098,0.7880794701986755,0.24163179916317992,0.20961887477313976,0.22448979591836735,0.0,5.261722379131957e+236,6.6115946769714355
Word level [fr],15.089943283482603,0.8278145695364238,0.3108853410740203,0.25241574357765734,0.2786160249739854,0.0,1.3351438342574737e+226,6.712001800537109
Word level [pt],15.910240866008557,0.8052980132450331,0.29254351779683035,0.2708032708032708,0.2812539028350194,0.0,2.0656027825030835e+250,6.6524646282196045
Word level [zh],2.3396679213172513,0.7774834437086092,0.6427372498386056,0.6173115079365079,0.6297678537541906,0.1205298013245033,1.436876505290892e+23,6.640005826950073
Alignments [en],10.77036879188136,0.8900662251655629,0.4931940487496043,0.5878136200716846,0.5363628539461227,0.009271523178807948,7.757817848031768e+196,6.508130073547363
Alignments [de],11.036438354692962,0.8874172185430463,0.536723163841808,0.5786382423319556,0.5568931225792945,0.022516556291390728,1.6112893301734074e+233,6.4591145515441895
Alignments [es],12.321612403267308,0.8847682119205298,0.46580957704490406,0.5002000800320128,0.482392667631452,0.0,1.3045436734246287e+196,6.582413196563721
Alignments [fr],12.265698146820068,0.8940397350993378,0.5503437120905782,0.5661397670549085,0.5581299979495591,0.007947019867549669,4.560997859966389e+230,6.574023485183716
Alignments [pt],10.535694152430484,0.8900662251655629,0.5475903614457831,0.582941427960667,0.5647131911368813,0.01456953642384106,2.3675276807041693e+210,6.4685423374176025
Alignments [zh],6.5606290649426615,0.919205298013245,0.7364247957712639,0.7700037683708076,0.7528400368437212,0.17880794701986755,7.326748242059988e+168,6.893596410751343
