,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.92317880794702,0.8647619047619047,0.8996036988110965,0.8818387827775981,0.6688741721854304,0.7528054780829208,2051787.751952579,6.595122337341309
Word level [ALL],0.3509933774834437,0.14863477725313076,0.1769738450256661,0.1615710778844008,0.0,9.840507296512001,96177923.8068126,276.7117092609405
Word level [en],0.6463576158940397,0.3801331853496116,0.4503616042077581,0.41227806199217576,0.045033112582781455,4.453597176702399,6501493.027423774,51.749948024749756
Word level [de],0.7192052980132451,0.4105670103092784,0.4426229508196721,0.4259927797833936,0.05695364238410596,4.14730786022387,12045010.18499745,52.76204299926758
Word level [es],0.7112582781456953,0.4309133489461358,0.4277826213310084,0.4293422779641243,0.052980132450331126,4.214265724232322,4746105.752823827,52.37636590003967
Word level [fr],0.7324503311258278,0.41650512323456107,0.4729559748427673,0.4429391842144014,0.0423841059602649,3.74974122110166,6387052.270291285,51.64914131164551
Word level [ja],0.6119205298013245,0.3477956613016095,0.4663747263059118,0.3984500267236773,0.026490066225165563,4.500917381989328,12130103.454232205,51.24985456466675
Word level [zh_cn],0.7125827814569536,0.42255677468742026,0.44396782841823057,0.4329977774872532,0.05165562913907285,4.15477228603865,13745619.966530235,53.61126661300659
Alignments [ALL],0.8066225165562914,0.31183708103521424,0.4889135254988913,0.3807961315948537,0.07947019867549669,4.417310781227915,54000787.67181031,288.2890975475311
Alignments [en],0.8821192052980132,0.6561097256857855,0.7593073593073593,0.7039464882943144,0.3125827814569536,2.070807880163193,5397847.163772637,54.37389373779297
Alignments [de],0.8807947019867549,0.6514693765449052,0.786472148541114,0.7126333183115516,0.4556291390728477,1.814748685385444,5001286.602787501,54.775700807571404
Alignments [es],0.8649006622516556,0.6613698630136986,0.6924842226047045,0.6765695067264573,0.2516556291390729,1.8735431024902744,5038257.41572983,58.31839418411255
Alignments [fr],0.8874172185430463,0.6502504173622704,0.7908629441624365,0.7136967475950526,0.4132450331125828,1.6701800200499983,4280225.4495772505,58.32661700248718
Alignments [ja],0.8516556291390729,0.3201646090534979,0.491886195995785,0.3878687162442875,0.09933774834437084,3.639662519254183,13047012.923050847,44.774868726730354
Alignments [zh_cn],0.871523178807947,0.3874383521903104,0.6137408088235294,0.4750133380757603,0.13245033112582782,3.0485713958740237,8032807.23965052,51.04557871818543
