,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.41534903275192175,0.9682119205298013,0.9329296693060084,0.9318446150267504,0.9323868264866751,0.7655629139072848,4147215.0479345582,1.8466227054595947
Word level [en],9.13610634552805,0.8251655629139073,0.19111451551129835,0.15516169154228857,0.17127166638064184,0.010596026490066225,1.3084122786390074e+93,10.466666221618652
Word level [de],4.524072001639166,0.8596026490066225,0.5844838921761999,0.5252584933530281,0.553290804418858,0.0913907284768212,3.2235223178004314e+84,10.461291790008545
Word level [es],5.790201124392058,0.8437086092715231,0.43590561224489793,0.40527720130447675,0.42003379935473967,0.02384105960264901,3.2840917220691136e+61,10.440436363220215
Word level [fr],5.695575987037859,0.8291390728476821,0.4329488103821197,0.34680912503609584,0.3851210517877184,0.059602649006622516,2.967398968411595e+87,10.470405340194702
Word level [ja],4.654155693556133,0.7350993377483444,0.3614438329556491,0.49424524125719344,0.41753926701570687,0.019867549668874173,2.4651998319250066e+32,10.772514820098877
Word level [zh],3.870047692876113,0.7655629139072848,0.3145370925814837,0.35628539071347676,0.33411214953271023,0.03708609271523179,2.310533974996768e+18,10.650068998336792
Alignments [en],2.1602807588042006,0.8847682119205298,0.6965296578882599,0.7885204792421288,0.7396759017250392,0.31390728476821195,9.757415104184107e+30,10.441450595855713
Alignments [de],2.0167656093376296,0.8966887417218543,0.6734042553191489,0.8110185778347213,0.7358326068003488,0.43443708609271525,1.2821170633678477e+48,10.584062576293945
Alignments [es],2.103077049553394,0.8675496688741722,0.6854928017718716,0.7133390953615673,0.699138783001553,0.24635761589403973,1.0624132281654352e+47,10.516077756881714
Alignments [fr],1.6354703928736087,0.9139072847682119,0.655464480874317,0.8110209601081813,0.724992444847386,0.42251655629139073,1.4575466626830287e+62,10.467146396636963
Alignments [ja],5.311916826116411,0.8635761589403973,0.30037783375314864,0.5562033582089553,0.39008832188420023,0.09006622516556291,1.0146041285480483e+96,13.032912015914917
Alignments [zh],3.354274280839845,0.8821192052980132,0.3529664660361135,0.6204030226700252,0.44994519546949213,0.13774834437086092,4.8423485465128916e+58,11.65648102760315
