,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9549668874172186,0.8917259211376857,0.7099337748344371,0.4682015143674921
Word level [en],0.8039735099337748,0.1615055603079555,0.013245033112582781,8.754791550887258
Word level [de],0.847682119205298,0.5010132501948558,0.06490066225165562,4.577461005825746
Word level [es],0.8291390728476821,0.3782654127481714,0.02913907284768212,5.570035752497222
Word level [fr],0.823841059602649,0.36046332046332047,0.04370860927152318,5.843436303264216
Word level [ja],0.7576158940397351,0.3206758889610993,0.01456953642384106,4.8118780763525715
Word level [zh],0.7549668874172185,0.24601220426078582,0.038410596026490065,4.1458135435455725
Alignments [en],0.909933774834437,0.7430957833759934,0.34966887417218545,2.021038825515854
Alignments [de],0.9178807947019868,0.729291453615778,0.42649006622516555,1.9447978139303526
Alignments [es],0.8860927152317881,0.6898457957521094,0.27417218543046357,2.017457722754855
Alignments [fr],0.9390728476821192,0.7241901301846805,0.447682119205298,1.5955801587943967
Alignments [ja],0.9112582781456954,0.38658777120315585,0.09668874172185431,5.028622274179208
Alignments [zh],0.8980132450331125,0.4518388791593695,0.1337748344370861,3.1231467537189785
