,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9112582781456954,0.8973405776379754,0.9066743715689108,0.9019833285426848,0.6847682119205298,0.9201677633141548,3946273.0088930274,6.814152240753174
Word level [ALL],0.2463576158940397,0.20058997050147487,0.2052472718829812,0.20289189809501956,0.0,10.970486364866558,376469323.73041004,286.65567541122437
Word level [en],0.7377483443708609,0.4998594321057071,0.5189725627553999,0.5092367177430904,0.05033112582781457,4.096833043349417,14227420.272781622,53.860045671463006
Word level [de],0.6821192052980133,0.5104651162790698,0.4797814207650273,0.4946478873239437,0.03841059602649007,4.5495470624221,27306727.85349211,54.53548765182495
Word level [es],0.6701986754966888,0.5279642058165548,0.45075034106412,0.4863114512805417,0.07019867549668875,4.679971100154676,7471581.847785362,54.17612051963806
Word level [fr],0.6966887417218544,0.5032144944476914,0.484251968503937,0.4935511607910577,0.052980132450331126,4.406643223135094,17499264.38210395,53.673640966415405
Word level [ja],0.4701986754966888,0.3736391912908241,0.4708476237138658,0.416648601777585,0.015894039735099338,5.933153811254,25488422.3508246,53.13973641395569
Word level [zh_cn],0.7337748344370861,0.4577305605786618,0.4721380275122406,0.464822678755882,0.05562913907284768,4.472124036362295,42363792.49522146,55.83311891555786
Alignments [ALL],0.7867549668874172,0.35897094108237804,0.5543433511733223,0.4357605177993528,0.10463576158940398,5.123416862989727,1616102839.453815,296.32755541801447
Alignments [en],0.871523178807947,0.7036855036855036,0.7780494430861179,0.7390014191717198,0.3509933774834437,2.3280881693488675,9795469.55307802,55.53769850730896
Alignments [de],0.8794701986754967,0.6978177150192555,0.8108591885441527,0.7501034910997654,0.4688741721854305,2.0857043512557683,13773490.285720825,57.885333776474
Alignments [es],0.8543046357615894,0.7144842924659438,0.7152797105482883,0.7148817802503478,0.26225165562913905,2.034029242396355,7269038.105002685,61.25458979606629
Alignments [fr],0.8701986754966887,0.6863682092555332,0.7995898036917668,0.7386655839761809,0.4211920529801325,1.9971045532704967,6998000.262721235,60.65666174888611
Alignments [ja],0.8410596026490066,0.3528782112274025,0.5494444444444444,0.4297508690614136,0.10198675496688743,4.233454354185807,17536456.67454267,46.97733497619629
Alignments [zh_cn],0.8278145695364238,0.4490260201905304,0.6613612565445026,0.5348915989159893,0.15231788079470202,3.487655939553913,36684245.70147919,53.04352045059204
