,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9642384105960264,0.9330081767321763,0.823841059602649,0.42889128670611076
Word level [en],0.9152317880794701,0.29166055987102446,0.01456953642384106,8.611362577739515
Word level [de],0.9112582781456954,0.6979884653256436,0.2556291390728477,3.4475158346032626
Word level [es],0.9072847682119205,0.6268574573472757,0.1509933774834437,3.9250499060279447
Word level [fr],0.895364238410596,0.5792424449610284,0.15894039735099338,4.009252592450694
Word level [ja],0.8304635761589404,0.5063730165611723,0.05827814569536424,3.7561031046666598
Word level [zh],0.8423841059602649,0.6601101494885916,0.21456953642384105,2.3761894152352685
Alignments [en],0.9417218543046357,0.8106876028871725,0.45695364238410596,1.6854964246997903
Alignments [de],0.9470198675496688,0.8014440433212996,0.5324503311258278,1.642541667889485
Alignments [es],0.9350993377483444,0.8243243243243243,0.5337748344370861,1.3856863970880544
Alignments [fr],0.8649006622516556,0.7965853007869814,0.495364238410596,1.6876237373566254
Alignments [ja],0.9403973509933775,0.47567720890653803,0.13509933774834437,4.944791697004908
Alignments [zh],0.9350993377483444,0.5727422003284073,0.17483443708609273,2.9405326812675123
