,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.41534903275192175,0.9682119205298013,0.9329296693060084,0.9318446150267504,0.9323868264866751,0.7655629139072848,4147215.0479345582,1.8311183452606201
Word level [en],15.45223022260164,0.8768211920529801,0.09242529534398888,0.1328007988017973,0.10899405859455029,0.0,7.159850103141695e+197,6.524046182632446
Word level [de],15.502039693531238,0.8675496688741722,0.39503149055283415,0.3339248742975451,0.3619169738740183,0.0,4.640327797647145e+208,6.606715679168701
Word level [es],16.72680496416594,0.7894039735099337,0.33191981495759443,0.26210045662100456,0.29290695696547037,0.0,8.306642680170882e+194,6.6368043422698975
Word level [fr],15.222452103464226,0.8211920529801324,0.42284710017574695,0.3325960740945535,0.372330547818013,0.0013245033112582781,8.013818123150498e+194,6.683579206466675
Word level [ja],1.935228257430227,0.8516556291390729,0.6358390056229654,0.6148232937473173,0.6251545791809122,0.10198675496688742,2.615185795906686e+94,6.821267127990723
Word level [pt],15.236268204136898,0.8582781456953642,0.40688685874912156,0.2736294896030246,0.3272110765753038,0.0,1.9275857261032466e+199,6.642308235168457
Alignments [en],9.891112734142103,0.8913907284768212,0.6349510838288893,0.6596253487445197,0.6470530739908122,0.017218543046357615,6.155555348944141e+156,6.5164101123809814
Alignments [de],10.657531878822729,0.9033112582781457,0.5679403120054262,0.5898098145104484,0.5786685095600091,0.02384105960264901,1.7021183231496033e+179,6.553984880447388
Alignments [es],11.091955797295821,0.8635761589403973,0.5488586303564277,0.5509547738693468,0.549904704584211,0.011920529801324504,5.195717450320455e+150,6.655517816543579
Alignments [fr],11.27482335441991,0.8900662251655629,0.5854393693484813,0.5967856298747342,0.591058052434457,0.01456953642384106,6.807237786499923e+179,6.59263277053833
Alignments [ja],5.319790646825966,0.895364238410596,0.691844114102049,0.7541605839416058,0.7216595655514424,0.18543046357615894,1.1169813039885271e+129,7.453045845031738
Alignments [pt],10.754803426642168,0.8860927152317881,0.5559440559440559,0.5899084837991591,0.5724228969158766,0.019867549668874173,4.3530400010802376e+204,6.509941339492798
