,intent_acc,slot_f1,sementic_frame_acc,loss
No attack,0.9496688741721855,0.926338102808691,0.6794701986754967,0.4831412726636412
Word level [en],0.8741721854304636,0.1388375436434586,0.0013245033112582781,15.389252783122815
Word level [de],0.8821192052980132,0.3051679190308235,0.0,15.066605035882247
Word level [es],0.823841059602649,0.2778331671651711,0.0,15.269340565330104
Word level [fr],0.8132450331125828,0.3684374029201615,0.0013245033112582781,14.894351397062604
Word level [ja],0.8794701986754967,0.4838781081679333,0.059602649006622516,2.0884576264180637
Word level [pt],0.8437086092715231,0.31855916701843257,0.0013245033112582781,14.436565921181126
Alignments [en],0.8675496688741722,0.6446800157047506,0.022516556291390728,10.024527870981316
Alignments [de],0.8913907284768212,0.5908469945355191,0.031788079470198675,10.657964942329809
Alignments [es],0.866225165562914,0.5261677548970366,0.013245033112582781,10.89060610219052
Alignments [fr],0.8688741721854305,0.5963602426504899,0.015894039735099338,11.224317269576224
Alignments [ja],0.9152317880794701,0.7025165190496274,0.1880794701986755,5.223119143122121
Alignments [pt],0.8874172185430463,0.5768591114278926,0.025165562913907286,10.52714248456453
