,loss,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,perplexity,time
No attack,0.30035576057730634,0.9748344370860927,0.9531177829099308,0.9579851439182916,0.9555452651076639,0.8649006622516556,1147181143.8786216,1.9607045650482178
Word level [en],16.1951164446379,0.9006622516556292,0.20713577799801783,0.2872194228126432,0.24069097888675625,0.0013245033112582781,5.934673556541022e+176,6.733203411102295
Word level [de],13.807810271413702,0.9086092715231788,0.53011704253497,0.4770100179809915,0.502163331530557,0.0013245033112582781,5.797475593125219e+191,6.563586235046387
Word level [es],14.560922572487279,0.8741721854304636,0.5232945091514143,0.4859644604687098,0.503939110695687,0.0,9.871591280170746e+175,6.748477935791016
Word level [fr],13.727278348019249,0.9152317880794701,0.5248783126014062,0.47866831072749694,0.5007094028118146,0.0013245033112582781,1.4314923730665643e+187,6.7661521434783936
Word level [ja],1.1746988638598277,0.9403973509933775,0.7279084551811824,0.7272611788617886,0.7275846730634808,0.43973509933774835,8.852528464526457e+64,6.805030107498169
Word level [pt],13.992197177284643,0.8821192052980132,0.5868461147790757,0.5031569780100152,0.5417887703668972,0.0,1.4947244961326773e+178,7.6658875942230225
Alignments [en],9.061718283201518,0.909933774834437,0.674759080800593,0.6831144465290807,0.6789110572440797,0.02119205298013245,3.47256466643919e+144,6.788649559020996
Alignments [de],9.180598547584133,0.9006622516556292,0.6776984642007354,0.6576406381192276,0.6675189091296474,0.03443708609271523,4.975702585358043e+151,6.597635269165039
Alignments [es],10.307934625525224,0.895364238410596,0.6092204194697269,0.613591072140295,0.6113979348689436,0.011920529801324504,4.133112800325783e+179,6.623553514480591
Alignments [fr],10.680242234782169,0.9019867549668874,0.659002169197397,0.6316008316008316,0.6450106157112527,0.006622516556291391,3.276951273795908e+184,6.682414531707764
Alignments [ja],4.983479492631005,0.9615894039735099,0.6878420176064716,0.7497406639004149,0.7174587417793771,0.3165562913907285,1.808539371310246e+148,7.324488639831543
Alignments [pt],9.724429251018323,0.8887417218543047,0.6538292253521126,0.6270578303081469,0.6401637578108167,0.02119205298013245,2.7823443703789815e+179,6.544129848480225
