,intent_acc,slot_precision,slot_recall,slot_f1,sementic_frame_acc,loss,perplexity,time
No attack,0.9483443708609272,0.9346679291221426,0.9242910647405028,0.9294505346694464,0.7231788079470198,0.626108828911521,273344.4172251135,6.842303514480591
Word level [ALL],0.8238410596026491,0.4145471832659853,0.293800539083558,0.3438824805284433,0.05165562913907285,5.1399530950345484,94088095.01986052,131.2025554180145
Word level [en],0.9019867549668874,0.6239886731391586,0.5634703196347032,0.5921873500335926,0.08079470198675498,2.8657466888427736,12151187.061660348,27.2985360622406
Word level [de],0.8940397350993378,0.6305112813082178,0.5406460773872914,0.5821309125656952,0.10198675496688743,2.3961479687377025,10437350.929160096,28.008136749267575
Word level [es],0.895364238410596,0.6429328247510065,0.5558812751923782,0.5962464380465756,0.0781456953642384,2.734258393551174,17515199.58140457,28.42846846580505
Word level [fr],0.913907284768212,0.6548636548636548,0.5725978647686832,0.6109739889880388,0.09933774834437084,2.679116085328554,90791437.96754672,27.45179629325867
Word level [ja],0.8940397350993378,0.5876019575856444,0.5249198484406878,0.5544950738916256,0.11125827814569536,2.367423047517476,8391188.83983571,27.573376893997192
Word level [pt],0.8701986754966887,0.5812486861467311,0.4955197132616487,0.5349714617393827,0.08874172185430464,2.713127738237381,17464113.517199855,27.185588598251343
Alignments [ALL],0.7298013245033113,0.4410622767510483,0.4958100558659218,0.4668365250267117,0.1337748344370861,7.728295047659622,7325103926358.285,181.18312764167786
Alignments [en],0.7642384105960265,0.4930465418134619,0.5226022012578616,0.507394332601851,0.11655629139072847,6.470522558689117,796424868559.8207,35.78242516517639
Alignments [de],0.7841059602649006,0.454361465290427,0.5026869682042095,0.4773041352184544,0.12450331125827815,6.78815945324145,673206749493.3356,35.517213582992554
Alignments [es],0.7298013245033113,0.3973010517959913,0.4148363033568173,0.4058793715154587,0.06490066225165562,6.8210852472405685,50043201676.85978,37.26113533973694
Alignments [fr],0.766887417218543,0.4378769601930036,0.475130890052356,0.455743879472693,0.08874172185430464,7.100096717633699,403299331811.0369,35.99869608879089
Alignments [ja],0.8980132450331125,0.5911642665364901,0.5895813047711782,0.5903717245581963,0.2556291390728477,4.155314508551045,199133011.07745177,35.34102487564087
Alignments [pt],0.7589403973509934,0.4112205911924392,0.4634035803308407,0.4357553803537183,0.0913907284768212,7.368001983040258,983314872512.1868,36.315293788909905
